,n_movies,n_cat,time,n_mvoies_watched,n_hours_watched
4686,11701.0,7.0,0.018552583002019674,12.0,23.0
4687,11701.0,8.0,0.018611332983709872,11.0,23.0
4688,11701.0,9.0,0.018497666984330863,11.0,23.0
4689,11701.0,10.0,0.01895679099834524,13.0,23.0
4690,11701.0,11.0,0.01910475001204759,11.0,23.0
4691,11701.0,12.0,0.018335040978854522,10.0,23.0
4692,11701.0,13.0,0.018131749995518476,11.0,23.0
4693,11701.0,14.0,0.018928500008769333,12.0,23.0
4694,11701.0,15.0,0.018850207998184487,13.0,23.0
4695,11701.0,16.0,0.019161957985488698,12.0,23.0
4696,11701.0,17.0,0.019547042000340298,13.0,23.0
4697,11701.0,18.0,0.019676374999107793,11.0,23.0
4698,11701.0,19.0,0.018986167007824406,10.0,23.0
4699,11701.0,20.0,0.019151499989675358,10.0,23.0
4700,11751.0,1.0,0.018233709008200094,1.0,3.0
4701,11751.0,2.0,0.018331708997720852,3.0,11.0
4702,11751.0,3.0,0.019350749993463978,6.0,15.0
4703,11751.0,4.0,0.019612458010669798,9.0,22.0
4704,11751.0,5.0,0.018514875002438203,9.0,23.0
4705,11751.0,6.0,0.018623209005454555,12.0,23.0
4706,11751.0,7.0,0.01866054200218059,10.0,23.0
4707,11751.0,8.0,0.019021624990273267,9.0,23.0
4708,11751.0,9.0,0.018551499990280718,13.0,23.0
4709,11751.0,10.0,0.01856079199933447,13.0,23.0
4710,11751.0,11.0,0.018973250000271946,10.0,23.0
4711,11751.0,12.0,0.019448457984253764,12.0,23.0
4712,11751.0,13.0,0.01939154099090956,12.0,23.0
4713,11751.0,14.0,0.01928470900747925,12.0,23.0
4714,11751.0,15.0,0.018718999985139817,11.0,23.0
4715,11751.0,16.0,0.01813058299012482,12.0,23.0
4716,11751.0,17.0,0.01895566697930917,10.0,23.0
4717,11751.0,18.0,0.018988374999025837,13.0,23.0
4718,11751.0,19.0,0.019245457981014624,11.0,23.0
4719,11751.0,20.0,0.01901354198344052,12.0,23.0
4720,11801.0,1.0,0.017992292006965727,1.0,2.0
4721,11801.0,2.0,0.018261666991747916,4.0,11.0
4722,11801.0,3.0,0.018982375011546537,4.0,14.0
4723,11801.0,4.0,0.01872916700085625,9.0,21.0
4724,11801.0,5.0,0.01905579201411456,8.0,23.0
