,n_movies,n_cat,time
312,2051,18,0.009413083986146376
313,6501,8,0.013823082990711555
314,5001,19,0.012626416981220245
315,3551,2,0.01058920900686644
316,3601,14,0.011030708003090695
317,6301,14,0.013375916983932257
318,2951,3,0.010215292015345767
319,8801,12,0.015929582994431257
320,7701,12,0.014993375021731481
321,7251,6,0.014219709002645686
322,7901,9,0.014906708005582914
323,2201,12,0.009465624985750765
324,7651,10,0.014683209010399878
325,6751,4,0.014439917023992166
326,2351,10,0.011211542005185038
327,3751,16,0.012531458982266486
328,6001,20,0.014343084010761231
329,6251,16,0.013332749978872016
330,8951,10,0.016122000000905246
331,3501,20,0.010910625016549602
332,8151,9,0.015335709002101794
333,4901,1,0.011934749985812232
334,1201,4,0.008257083012722433
335,901,15,0.007858416996896267
336,5301,11,0.012304417003178969
337,9601,7,0.016642125003272668
338,1201,17,0.008438457996817306
339,4701,17,0.0119219170010183
340,5551,13,0.012782458012225106
341,6051,8,0.013211249985033646
342,1451,15,0.008557249995646998
343,3001,2,0.009801249980228022
344,4151,15,0.011173791019245982
345,7251,18,0.01458895902032964
346,2751,18,0.010273540974594653
347,7701,6,0.014803333004238084
348,5701,19,0.013172750012017787
349,4551,2,0.011606209009187296
350,8651,5,0.015628833993105218
351,301,2,0.007601499994052574
352,1501,8,0.00858295802026987
353,7001,12,0.014201000012690201
354,51,10,0.007457959000021219
355,2501,12,0.009590540983481333
356,3101,14,0.010494999994989485
357,5951,3,0.012768916989443824
358,6401,14,0.013584209023974836
359,4051,7,0.011218333995202556
360,601,7,0.007755582977551967
361,7051,17,0.014391667005838826
362,2551,17,0.009831166971707717
363,3151,11,0.010252332984237
364,5701,9,0.012921624991577119
365,6451,11,0.01365070798783563
366,5501,16,0.01280474997474812
367,5751,20,0.013477750006131828
368,3501,7,0.010757709009340033
369,1401,10,0.008569833007641137
370,4101,10,0.011132624989841133
371,2251,9,0.009630249987822026
372,2901,6,0.009981292008887976
373,7201,3,0.01431862500612624
374,1701,1,0.008852667000610381
375,3551,19,0.011039332981454208
376,6051,19,0.013272707990836352
377,951,10,0.008432417002040893
378,5351,14,0.012437375000445172
379,1251,12,0.008278374996734783
380,5001,5,0.012201833014842123
381,9301,2,0.016166417015483603
382,4751,12,0.011861957988003269
383,6251,1,0.013334916991880164
384,7601,15,0.01511616600328125
385,2301,15,0.00966583300032653
386,1,16,0.007049207983072847
387,3701,13,0.01110658299876377
388,8901,15,0.01614366701687686
389,3951,4,0.011102541990112513
390,6201,13,0.013424999982817098
391,2551,5,0.009822958993026987
392,1001,18,0.008202750002965331
393,4501,18,0.011478875007014722
394,3051,7,0.010100665997015312
395,3651,11,0.010815874993568286
396,2701,9,0.009825167013332248
397,8851,17,0.016595124994637445
398,6351,11,0.013321083009941503
399,7751,3,0.014737083023646846
400,7751,17,0.015132416010601446
401,2251,17,0.00951945799170062
402,1301,10,0.008399250014917925
403,4501,7,0.01166749998810701
404,801,8,0.00803062500199303
405,351,7,0.007582999998703599
406,4601,10,0.011791583994636312
407,5201,16,0.012253499997314066
408,5051,20,0.01326966701890342
409,801,12,0.008126375003485009
410,5251,9,0.012495582981500775
411,5901,6,0.012864832999184728
412,6701,1,0.01363508400390856
413,3251,19,0.011119000002508983
414,6751,19,0.014252334018237889
415,9851,19,0.017475250002462417
416,2001,5,0.009066833008546382
417,1551,12,0.00891591698746197
418,4051,12,0.011234417004743591
419,5451,14,0.012728582980344072
420,3001,13,0.010394457989605144
421,6501,13,0.013553959026467055
422,4951,4,0.012084499991033226
