,n_movies,n_cat,time,n_mvoies_watched,n_hours_watched
145,351.0,6.0,0.006859624991193414,16.0,22.0
146,351.0,7.0,0.006912416982231662,16.0,22.0
147,351.0,8.0,0.006821290997322649,17.0,22.0
148,351.0,9.0,0.00673770799767226,14.0,22.0
149,351.0,10.0,0.0076901249994989485,14.0,21.0
150,351.0,11.0,0.006972375005716458,16.0,23.0
151,351.0,12.0,0.007250875001773238,18.0,21.0
152,351.0,13.0,0.006940249993931502,16.0,22.0
153,351.0,14.0,0.007344749988988042,14.0,21.0
154,351.0,15.0,0.007227082998724654,15.0,19.0
155,351.0,16.0,0.007314374990528449,18.0,22.0
156,351.0,17.0,0.006957624980714172,16.0,22.0
157,351.0,18.0,0.007059625000692904,16.0,20.0
158,351.0,19.0,0.00692200000048615,16.0,21.0
159,351.0,20.0,0.00745770797948353,13.0,20.0
160,401.0,1.0,0.008414457988692448,1.0,2.0
161,401.0,2.0,0.006939708982827142,4.0,6.0
162,401.0,3.0,0.00793866699677892,8.0,11.0
163,401.0,4.0,0.007219709019409493,11.0,15.0
164,401.0,5.0,0.007382708019576967,13.0,18.0
165,401.0,6.0,0.007197792001534253,18.0,23.0
166,401.0,7.0,0.006648374983342364,16.0,21.0
167,401.0,8.0,0.0074143749952781945,13.0,21.0
168,401.0,9.0,0.006927332986379042,16.0,19.0
169,401.0,10.0,0.007092374988133088,16.0,21.0
170,401.0,11.0,0.006982708000577986,14.0,22.0
171,401.0,12.0,0.006814666994614527,18.0,23.0
172,401.0,13.0,0.007512958982260898,18.0,22.0
173,401.0,14.0,0.007732041995041072,16.0,22.0
174,401.0,15.0,0.0068982079974375665,19.0,21.0
175,401.0,16.0,0.006968208006583154,17.0,22.0
176,401.0,17.0,0.006938124977750704,17.0,21.0
177,401.0,18.0,0.0071479170001111925,16.0,22.0
178,401.0,19.0,0.007509834016673267,19.0,23.0
179,401.0,20.0,0.007343459001276642,15.0,21.0
180,451.0,1.0,0.00749341698247008,1.0,2.0
181,451.0,2.0,0.007024584017926827,3.0,5.0
182,451.0,3.0,0.007212209020508453,7.0,10.0
183,451.0,4.0,0.0071591669984627515,9.0,12.0
184,451.0,5.0,0.006880959001136944,15.0,20.0
185,451.0,6.0,0.007325374986976385,16.0,20.0
