,n_movies,n_cat,time,n_output
2935,29301.0,6.0,0.036144833007710986,20.0
2936,29301.0,7.0,0.035785374988336116,20.0
2937,29301.0,8.0,0.03626679199805949,23.0
2938,29301.0,9.0,0.035330832994077355,23.0
2939,29301.0,10.0,0.036759667011210695,23.0
2940,29401.0,1.0,0.03615750001335982,1.0
2941,29401.0,2.0,0.03570433300046716,3.0
2942,29401.0,3.0,0.03625545800605323,4.0
2943,29401.0,4.0,0.03610770800150931,11.0
2944,29401.0,5.0,0.03613541599770542,15.0
2945,29401.0,6.0,0.03591458399023395,23.0
2946,29401.0,7.0,0.03603974998986814,23.0
2947,29401.0,8.0,0.03562441600661259,23.0
2948,29401.0,9.0,0.036455333000048995,23.0
2949,29401.0,10.0,0.037195541997789405,23.0
2950,29501.0,1.0,0.036414165995665826,1.0
2951,29501.0,2.0,0.0371995000023162,3.0
2952,29501.0,3.0,0.036663999999291264,7.0
2953,29501.0,4.0,0.03630033301305957,8.0
2954,29501.0,5.0,0.03689187500276603,18.0
2955,29501.0,6.0,0.03700724999362137,17.0
2956,29501.0,7.0,0.03662362501199823,23.0
2957,29501.0,8.0,0.036269290998461656,23.0
2958,29501.0,9.0,0.03653058300551493,23.0
2959,29501.0,10.0,0.036727541009895504,23.0
2960,29601.0,1.0,0.03730683300818782,1.0
2961,29601.0,2.0,0.0365801250009099,3.0
2962,29601.0,3.0,0.03640904098574538,7.0
2963,29601.0,4.0,0.03673187500680797,11.0
2964,29601.0,5.0,0.036287875002017245,17.0
2965,29601.0,6.0,0.0365202910033986,23.0
2966,29601.0,7.0,0.036162832999252714,23.0
2967,29601.0,8.0,0.03584629199758638,23.0
2968,29601.0,9.0,0.03655800000706222,23.0
2969,29601.0,10.0,0.03671033300634008,23.0
2970,29701.0,1.0,0.03631095799210016,1.0
2971,29701.0,2.0,0.036291957992943935,3.0
2972,29701.0,3.0,0.03664483399188612,7.0
2973,29701.0,4.0,0.03636529200593941,11.0
2974,29701.0,5.0,0.035801999998511747,10.0
2975,29701.0,6.0,0.036451833992032334,23.0
2976,29701.0,7.0,0.0359659170062514,23.0
2977,29701.0,8.0,0.0365941659983946,23.0
2978,29701.0,9.0,0.036656500000390224,23.0
2979,29701.0,10.0,0.03763749999052379,23.0
2980,29801.0,1.0,0.03647525000269525,1.0
2981,29801.0,2.0,0.036381499987328425,4.0
2982,29801.0,3.0,0.036163915996439755,6.0
2983,29801.0,4.0,0.03660741700150538,9.0
2984,29801.0,5.0,0.03710383300494868,18.0
2985,29801.0,6.0,0.03649541700724512,23.0
2986,29801.0,7.0,0.036778333989786915,23.0
2987,29801.0,8.0,0.03639408299932256,23.0
2988,29801.0,9.0,0.03804566600592807,23.0
2989,29801.0,10.0,0.03845691699825693,23.0
2990,29901.0,1.0,0.037612959000398405,1.0
2991,29901.0,2.0,0.036307707996456884,3.0
2992,29901.0,3.0,0.03639987501082942,6.0
2993,29901.0,4.0,0.03749795799376443,11.0
2994,29901.0,5.0,0.03706037500523962,19.0
2995,29901.0,6.0,0.037207832996500656,23.0
2996,29901.0,7.0,0.037956917003612034,23.0
2997,29901.0,8.0,0.03661316599755082,23.0
2998,29901.0,9.0,0.03686166698753368,23.0
2999,29901.0,10.0,0.03680549999990035,23.0
3000,30001.0,1.0,0.037132166005903855,1.0
3001,30001.0,2.0,0.03614841699891258,2.0
3002,30001.0,3.0,0.0366937499929918,8.0
3003,30001.0,4.0,0.03780612500850111,12.0
3004,30001.0,5.0,0.03658941699541174,11.0
3005,30001.0,6.0,0.037474625001777895,23.0
3006,30001.0,7.0,0.03657241699693259,18.0
3007,30001.0,8.0,0.03637462500773836,23.0
3008,30001.0,9.0,0.03654791601002216,23.0
3009,30001.0,10.0,0.036912499999743886,23.0
3010,30101.0,1.0,0.03718445800768677,1.0
3011,30101.0,2.0,0.03608933299256023,4.0
3012,30101.0,3.0,0.03720725000312086,7.0
3013,30101.0,4.0,0.03684212500229478,11.0
3014,30101.0,5.0,0.037210041002254,11.0
3015,30101.0,6.0,0.03661212499719113,23.0
3016,30101.0,7.0,0.03669933299534023,23.0
3017,30101.0,8.0,0.03822349999973085,23.0
3018,30101.0,9.0,0.03729937500611413,23.0
3019,30101.0,10.0,0.03840858300100081,23.0
3020,30201.0,1.0,0.036873291013762355,1.0
3021,30201.0,2.0,0.036765125012607314,3.0
3022,30201.0,3.0,0.0376457499951357,7.0
3023,30201.0,4.0,0.03663800000504125,11.0
3024,30201.0,5.0,0.0376011250045849,13.0
3025,30201.0,6.0,0.03646616599871777,12.0
3026,30201.0,7.0,0.03700370900332928,23.0
3027,30201.0,8.0,0.037987042000168,23.0
3028,30201.0,9.0,0.03672408399870619,23.0
3029,30201.0,10.0,0.03706516699458007,23.0
3030,30301.0,1.0,0.036730833002366126,1.0
3031,30301.0,2.0,0.03668683300202247,3.0
3032,30301.0,3.0,0.036849541997071356,6.0
3033,30301.0,4.0,0.0369567079906119,11.0
3034,30301.0,5.0,0.03704716700303834,13.0
3035,30301.0,6.0,0.03737449999607634,17.0
3036,30301.0,7.0,0.03530795899860095,23.0
3037,30301.0,8.0,0.0366767079976853,23.0
3038,30301.0,9.0,0.03666483299457468,23.0
3039,30301.0,10.0,0.036568374998751096,23.0
3040,30401.0,1.0,0.03770670799713116,1.0
3041,30401.0,2.0,0.03695245800190605,3.0
3042,30401.0,3.0,0.03814291600428987,5.0
3043,30401.0,4.0,0.037012000000686385,11.0
3044,30401.0,5.0,0.03734458300459664,8.0
3045,30401.0,6.0,0.03721670899540186,23.0
3046,30401.0,7.0,0.036554249993059784,23.0
3047,30401.0,8.0,0.03795079200062901,23.0
3048,30401.0,9.0,0.036428416991839185,23.0
3049,30401.0,10.0,0.037525083011132665,23.0
3050,30501.0,1.0,0.0383330409968039,1.0
3051,30501.0,2.0,0.03941262498847209,3.0
3052,30501.0,3.0,0.03671304200543091,6.0
3053,30501.0,4.0,0.03814304099068977,9.0
3054,30501.0,5.0,0.03853295900626108,13.0
3055,30501.0,6.0,0.03724658300052397,18.0
3056,30501.0,7.0,0.03790024999761954,23.0
3057,30501.0,8.0,0.03736212500371039,23.0
3058,30501.0,9.0,0.038325500005157664,23.0
3059,30501.0,10.0,0.037394792001578026,23.0
3060,30601.0,1.0,0.038589042000239715,1.0
3061,30601.0,2.0,0.03724879199580755,4.0
3062,30601.0,3.0,0.03783741699589882,9.0
3063,30601.0,4.0,0.038074417010648176,8.0
3064,30601.0,5.0,0.03839700001117308,13.0
3065,30601.0,6.0,0.037787124994792975,22.0
3066,30601.0,7.0,0.038533583996468224,23.0
3067,30601.0,8.0,0.03749841600074433,23.0
3068,30601.0,9.0,0.03736879100324586,23.0
3069,30601.0,10.0,0.03753970901016146,23.0
3070,30701.0,1.0,0.03707754200149793,1.0
3071,30701.0,2.0,0.03729912500421051,4.0
3072,30701.0,3.0,0.03691916698880959,6.0
3073,30701.0,4.0,0.03746491699712351,10.0
3074,30701.0,5.0,0.03781479199824389,14.0
3075,30701.0,6.0,0.03777187499508727,22.0
3076,30701.0,7.0,0.03815454099094495,23.0
3077,30701.0,8.0,0.03909508298966102,23.0
3078,30701.0,9.0,0.03729454100539442,23.0
3079,30701.0,10.0,0.038625790999503806,23.0
3080,30801.0,1.0,0.037693916994612664,1.0
3081,30801.0,2.0,0.037427334013045765,3.0
3082,30801.0,3.0,0.037557083007413894,7.0
3083,30801.0,4.0,0.03807041700929403,10.0
3084,30801.0,5.0,0.03806395799620077,15.0
3085,30801.0,6.0,0.03801674999704119,15.0
3086,30801.0,7.0,0.037871458000154234,22.0
3087,30801.0,8.0,0.03736795899749268,23.0
3088,30801.0,9.0,0.03704808300244622,23.0
3089,30801.0,10.0,0.03811616700841114,23.0
3090,30901.0,1.0,0.038912584001081996,1.0
3091,30901.0,2.0,0.03784087501117028,3.0
3092,30901.0,3.0,0.03820033300144132,8.0
3093,30901.0,4.0,0.03785012500884477,9.0
3094,30901.0,5.0,0.03728500001307111,13.0
3095,30901.0,6.0,0.03797912500158418,18.0
3096,30901.0,7.0,0.03806395799620077,23.0
3097,30901.0,8.0,0.03848337499948684,23.0
3098,30901.0,9.0,0.03855812500114553,23.0
3099,30901.0,10.0,0.03741862499737181,23.0
3100,31001.0,1.0,0.03786458299146034,1.0
3101,31001.0,2.0,0.0380385829921579,2.0
3102,31001.0,3.0,0.03838066599564627,6.0
