,n_movies,n_cat,time,n_output
69,601.0,10.0,0.007542667008237913,11.0
70,701.0,1.0,0.008260125003289431,1.0
71,701.0,2.0,0.008091625000815839,3.0
72,701.0,3.0,0.007665834011277184,4.0
73,701.0,4.0,0.007733666992862709,9.0
74,701.0,5.0,0.008193790999939665,9.0
75,701.0,6.0,0.008345333000761457,10.0
76,701.0,7.0,0.007645290999789722,12.0
77,701.0,8.0,0.008133166003972292,10.0
78,701.0,9.0,0.008143832994392142,11.0
79,701.0,10.0,0.007949417005875148,12.0
80,801.0,1.0,0.007989457997609861,1.0
81,801.0,2.0,0.008145665997290052,3.0
82,801.0,3.0,0.008010124991415069,6.0
83,801.0,4.0,0.007943874996271916,11.0
84,801.0,5.0,0.008241584000643343,10.0
85,801.0,6.0,0.008036375002120622,10.0
86,801.0,7.0,0.0075936249922961,11.0
87,801.0,8.0,0.007879749988205731,12.0
88,801.0,9.0,0.007873082999140024,11.0
89,801.0,10.0,0.0074123339873040095,12.0
90,901.0,1.0,0.008127959008561447,1.0
91,901.0,2.0,0.008527333993697539,2.0
92,901.0,3.0,0.007789625000441447,5.0
93,901.0,4.0,0.008560207992559299,9.0
94,901.0,5.0,0.007872540998505428,12.0
95,901.0,6.0,0.007965583994518965,9.0
96,901.0,7.0,0.008209583000279963,14.0
97,901.0,8.0,0.008562832997995429,12.0
98,901.0,9.0,0.00803620800434146,13.0
99,901.0,10.0,0.007555167001555674,11.0
100,1001.0,1.0,0.0083756660023937,1.0
101,1001.0,2.0,0.00755604199366644,2.0
102,1001.0,3.0,0.008332124998560175,8.0
103,1001.0,4.0,0.007727792006335221,12.0
104,1001.0,5.0,0.008608750009443611,12.0
105,1001.0,6.0,0.007801582993124612,11.0
106,1001.0,7.0,0.007941832998767495,12.0
107,1001.0,8.0,0.008348916002432816,11.0
108,1001.0,9.0,0.008402874998864718,11.0
109,1001.0,10.0,0.008637749997433275,10.0
110,1101.0,1.0,0.008147332991939038,1.0
111,1101.0,2.0,0.007841750004445203,4.0
112,1101.0,3.0,0.008140374993672594,5.0
113,1101.0,4.0,0.008312042002216913,9.0
114,1101.0,5.0,0.0085078750125831,10.0
115,1101.0,6.0,0.008091832991340198,12.0
116,1101.0,7.0,0.007910584012279287,12.0
117,1101.0,8.0,0.008264916992629878,13.0
118,1101.0,9.0,0.00844949999009259,12.0
119,1101.0,10.0,0.0080810830113478,10.0
120,1201.0,1.0,0.008239999995566905,1.0
121,1201.0,2.0,0.008350207994226366,3.0
122,1201.0,3.0,0.008025124989217147,8.0
123,1201.0,4.0,0.008077417005551979,11.0
124,1201.0,5.0,0.007811207993654534,10.0
125,1201.0,6.0,0.009298000004491769,11.0
126,1201.0,7.0,0.00833254199824296,11.0
127,1201.0,8.0,0.00897925000754185,8.0
128,1201.0,9.0,0.009019791992614046,11.0
129,1201.0,10.0,0.008377459002076648,12.0
130,1301.0,1.0,0.009142459006397985,1.0
131,1301.0,2.0,0.008743957994738594,4.0
132,1301.0,3.0,0.008260749993496574,6.0
133,1301.0,4.0,0.008758749987464398,9.0
134,1301.0,5.0,0.008458875003270805,10.0
135,1301.0,6.0,0.008613958008936606,13.0
136,1301.0,7.0,0.008538082998711616,12.0
137,1301.0,8.0,0.008643499997560866,10.0
138,1301.0,9.0,0.00871679100964684,11.0
139,1301.0,10.0,0.008625415997812524,9.0
140,1401.0,1.0,0.008926374997827224,1.0
141,1401.0,2.0,0.008775791997322813,4.0
142,1401.0,3.0,0.008309040989843197,7.0
143,1401.0,4.0,0.008744250008021481,9.0
144,1401.0,5.0,0.008317875006468967,8.0
145,1401.0,6.0,0.008130332993459888,12.0
146,1401.0,7.0,0.008948708011303097,11.0
147,1401.0,8.0,0.008837249988573603,11.0
148,1401.0,9.0,0.008204333003959619,11.0
149,1401.0,10.0,0.009188124997308478,12.0
150,1501.0,1.0,0.008877249987563118,1.0
151,1501.0,2.0,0.009471125013078563,3.0
152,1501.0,3.0,0.008364709006855264,7.0
153,1501.0,4.0,0.008416750002652407,6.0
154,1501.0,5.0,0.008519750001141801,14.0
155,1501.0,6.0,0.009644374993513338,10.0
156,1501.0,7.0,0.008565707990783267,10.0
157,1501.0,8.0,0.008830124992527999,10.0
158,1501.0,9.0,0.009565041997120716,9.0
159,1501.0,10.0,0.009957124988432042,9.0
160,1601.0,1.0,0.008736166011658497,1.0
161,1601.0,2.0,0.008926333000999875,3.0
162,1601.0,3.0,0.00870299999951385,5.0
163,1601.0,4.0,0.008477291994495317,10.0
164,1601.0,5.0,0.008929791991249658,10.0
165,1601.0,6.0,0.00876258299103938,12.0
166,1601.0,7.0,0.008500709009240381,12.0
167,1601.0,8.0,0.008678208003402688,10.0
168,1601.0,9.0,0.00902637500257697,11.0
169,1601.0,10.0,0.009303833998274058,9.0
170,1701.0,1.0,0.010334332997445017,1.0
171,1701.0,2.0,0.009853292009211145,4.0
172,1701.0,3.0,0.008564749994548038,7.0
173,1701.0,4.0,0.008442333011771552,12.0
174,1701.0,5.0,0.009183832997223362,11.0
175,1701.0,6.0,0.008712959010154009,11.0
176,1701.0,7.0,0.010197124996921048,10.0
177,1701.0,8.0,0.009281457998440601,11.0
178,1701.0,9.0,0.009053167013917118,12.0
179,1701.0,10.0,0.008869458004483022,12.0
180,1801.0,1.0,0.00847720800084062,1.0
